perfil_id,fecha,numero,clase,lon,lat
4623,1981-06-03,I-862C,"",-65.8325,-32.951389
6866,1974-04-02,9/3054 C,"Natracuol típico, franca fina, illítica, térmica",-59.90867,-36.308917
1575,1982-02-17,1848,Paleudalfes típicos,-56.311134,-27.938935
5487,2011-01-01,Perfil 30,"",-59.323188,-30.716934
5027,1982-10-28,C-299 RN,"",-64.94875,-39.215472
2268,1988-01-01,AC 110,Haplustoles ácuico,-65.05,-28.25
589,1965-09-29,8/148 C,"",-59.077971,-34.270611
2896,1972-03-21,17-783C,Natralbol típico. franca gruesa. mixta. térmica,-62.7328,-33.5517
3168,2011-09-23,P6 C10,Argiudol vértico (serie Portela),-59.297389,-34.129472
6335,0976-01-01,C 782,"Hapludol típico, franca fina",-62.376603,-34.230664
4308,1994-07-24,4308,"Ustifluvent tipico, familia franco gruesa, mixta, termica",-64.420819,-23.357458
3226,2013-09-12,P3 C19,Epiacuerte típico,-58.1245,-30.168639
6584,2019-05-28,2730,Kandihumult típico,-55.872833,-27.952222
3461,1971-06-08,1/1790 C,"Natracualf típico, fina",-58.225427,-35.389078
2847,2010-05-18,P2a C2,Torrifluvente típico,-67.035944,-39.029778
5374,1976-08-01,379 C,"",-65.033333,-37.266667
1303,1989-11-01,C - 11,Haplustol éntico (2014),-62.970433,-38.788706
4877,1988-04-21,C13,"",-54.132275,-26.34518
5344,1999-11-15,E,Fluvacuente mólico,-72.416667,-49.55
3053,2014-10-08,P3 C25,Torriortentes típico,-68.439389,-32.933361
6507,1981-06-02,8/445 C,"Argiudol típico, limosa fina, mixta, térmica",-58.306944,-38.136667
419,1967-10-24,13/857 C,"",-59.996966,-33.625645
5318,1999-11-01,EC1,Criortente vitrándico,-72.933333,-49.183333
6420,2018-10-03,LM-7c,"Argiustol típico, franca gruesa, mixta, térmica",-64.283889,-33.045
3654,1986-06-24,III-872C,"Haplocambide típico, franco gruesa, mixta, térmica",-66.463611,-31.952778
6219,1981-01-27,136,"Natracualfes glósicos, arcillosa fina",-57.306894,-28.607233
5482,2011-01-01,Perfil 44,"",-59.374579,-30.70552
7412,1970-04-21,21/334 C,"Natracualf, franca fina",-58.429935,-37.10252
6159,1976-11-01,799 C,"Hapludol thapto árgico, franca fina",-62.106532,-34.080593
904,1981-03-27,25/214 C,Argialbol típico,-60.952522,-34.908407
5113,1983-04-13,C-408 RN,"",-70.841417,-41.815833
6125,0001-01-01,7/2945 C,"",-58.326361,-35.729437
1105,2006-01-01,1105,Torripsamentes tipico,-68.162851,-34.758051
989,2006-01-01,989,Torrifluventes tipico,-68.989838,-33.528393
3541,1971-11-04,9/2131 C,"Argiudol ácuico, fina",-57.5439,-35.5547
4442,1978-11-07,III-218C,"",-65.464722,-35.931111
3657,1987-06-24,III-900C,"Torriortente típico, franco gruesa, mixta (calcárea), térmico",-66.4025,-34.159167
4212,1963-06-12,865/10,Salino hidromórfico,-60.790783,-29.123033
